	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
66	28	 Ann L. Aiken e, United States Department of Justice (1988)	N / A	N / A	N / A	N / A	N / A	N / A	N / A
67	29	 Anna J. Brown	 1998	 President William J. Clinton	N / A	 Chief Clerk, Oregon House of Representatives (1982-1983)	 Judge, Lane County District Court (1988-1992); Judge, Lane County Circuit Court (1993-1997)	 Associate Attorney, Sahistrom & Dugdale, PC (1980-1982); Associate Attorney, Thorp, Denett, Purdy, Golden & Jewett, PC (1983-1988)	 Lane County Bar Association; Lane County Women Lawyers Association; Oregon State Bar Association; Oregon Women Lawyers Anna J. Brown District Judge Date of Birth: 1952 Education: Portland State 1975 BS; Lewis & Clark 1980 ID Began Service: October 27, 1999 Appointed By: President William J. Clinton Owen M. Panner Senior Judge Date of Birth: 1924. Education: Oklahoma 1949 LLB Began Service: February 20, 1980 Appointed By: President Jimmy Carter Political Affiliation: Republican Academic: Records Clerk, Dispatcher, Police Community Service Officer, Police Department (1970-1975); Police Emergency Communications Operator (1975-1977) Clerkships: Judicial Law Clerk The Honorable John C. Beatty, Jr., Multnomah County Circuit Court (1978-1980) Judicial: District Court Judge, Multnomah County (1992-1994); Circuit 
142	30	 Arthur J. Schwab	N / A	N / A	N / A	N / A	N / A	N / A	N / A
164	31	 Arthur N. Votolato	 June 25, 1968	N / A	N / A	 Chief Special Counsel, Department of Public Works, State of Rhode Island (1962-1968)	 Chief Judge, Member, First Circuit Bankruptcy Appellate Panel (1980-1983); Chief Bankruptcy Judge, United States Bankruptcy Appellate Panel for the First Circuit	 Partner, Votclato & Votolato (1956-1962)	N / A
296	32	 B. Dwight Goains	 2007	N / A	N / A	N / A	N / A	N / A	N / A
277	33	 B. Janice Ellington	 November 14, 1996	N / A	N / A	N / A	N / A	N / A	N / A
56	34	 Bana Roberts	N / A	N / A	N / A	N / A	N / A	N / A	N / A
253	35	 Barbara J.	 January 20, 2000	N / A	N / A	N / A	N / A	 Locke, Purnell, Boren, Laney & Neely (1978-1988); Shareholder, Sheinfeld, Maley & Kay, PC. (1988-2000)	 American Bar Association; American Bar Foundation, American Bar Association; American College of Bankruptcy; National Bankruptcy Conference; State Bar of Texas; Texas Bar Foundation, State Bar of Texas
239	36	 Barbara M. G. Lynn	 February 14, 2000	N / A	N / A	N / A	N / A	 Attorney, Carrington, Coleman, Sloman & Blumenthal, L.LP. (1976-1999)	 Executive Committee, American Bar Association; Judicial Division, American Bar Association; Section on Litigation, American Bar Association; American College of Trial Lawyers; The Patrick E. Higginbotham American Inn of Court, The American Inns of Court; Dallas Chapter, International Women’s Forum
209	37	 Bernice E. Donald	 January 1996	 President William J. Clinton	N / A	 Staff Attorney, Memphis Area Legal Services, Inc. (1986); Assistant Public Defender, Office of the Public Defender, State of Tennessee (1980-1982)	 Judge, Tennessee General Sessions Criminal Court (1982-1988); Faculty, Federal Judicial Center; Bankruptcy Judge, United States Bankruptcy Court for the Western District of Tennessee (1988-1995)	 Sole Practitioner (1979-1980)	 American Association for Justice; American Bar Association; American Bar Foundation, American Bar Association; Association of Women Attorneys; International Women’s Forum; Memphis Bar Association, National Association of Women Judges; National _ Bankruptcy Conference; National Bar Association; National Judicial College; Tennessee Bar Association ps: Law Clerk The Honorable Bailey Brown, United States District “the Western District of Tennessee (1974-1975) ctice: Associate, Armstrong, Allen, Braden, Goodman, McBride sit (1975+ 1980); Partner, Armstrong, Allen, Prewitt, Gentry, on & Holmes (1980- 1987}; Parner, Heiskell, Donelson, Bearman, Williams & Kirsch (1987-1992) itary Service: United States Army (1969-1971) Memberships: American Bar Association; Federal Bar : jation; Federal Judges Association, Memphis Bar Association; see Bar Association ck Annie Christoff.............. Emote x 8EE PEE (901) 495-1291 Service: August 2007 Expires: August 2008 ipail: annie_christoff@tnwd.uscourts.gov Clerk Jacob Dickerson .......0.00......000.. »- (901) 495-1291 pan Service: August 2007 ‘ ti Expires: August 2008 ‘Clerk Jessica Komberg..............c0cesccuee (901) 495-1291
232	38	 Bill Parker	 October 30, 1908	N / A	N / A	 Assistant United States Trustee, Eastern District of Texas,	N / A	 Associate, Smead Anderson Wilcox & Dunn (1985-1987);	N / A
233	39	 Brenda T. Rhoades	 August 20, 2007	N / A	N / A	N / A	 Chief Fudge, United States District Court for the Eastern District of Texas (1980-1990) Staff	 Partner, Justice & Justice (1946-1961) Career Law Clerk Terri Good. ......--.-..---.--+---5 (903) 590-107 . : E-mail: Terri_Good@txed.uscourts.gov Military Service: United States Army (1942-1946) Education: LSU 1995 Courtroom Deputy Tetri Hoskins...................-. (903) 590- so Staff / Secretary Shirley Dunfee...........-.00c:eceeeeeeee (903) 590-107 Law Clerk Anita Khandelwal..............2...2.0-- (312) 916-5283 Began Service: August 20, 2007 Term Expires; August 2008 Clerk Jacob Schelick 2202... 00... coe eee eee 512) 916-52 / | Staff Began Service: August 13, 2007 en) 8 Career Law Clerk Leslie Masterson.................. (972) 509-1252 Tern Expires: August 2008 Judicial Assistant Marianne Denning ................. (972) 509-1250 | © Leadership Directories, inc.	 American Bar Association; American Judges Association; Fifth Circuit Bar Association; Magistrate Judges Association; Smith County Bar Association: State Bar of Texas; Texas Women Lawyers. bn Love Magistrate Judge Brenda 7: Rhoades Bankruptcy Judge Began Service: September 1, 2003 Term Expires: August 2017 Summer 2008 © Leadership Directories, inc. Judicial Yaliow Boe ‘Lciciay Yellow Book Summer 2008 FEDERAL COURTS—UNITED STATES DISTRICT COURTS 476 United States District Court for the Northern District of Texas United States District Court for the Northern District of Texas U.S. Courthouse, 1100 Commerce Street, Room 1452, Dallas, TX 75242 Tel: (214) 753-2200 Tel: (800) 676-6856 (Toll Free PACER) Fax: (214) 753-2266 Internet: www.txnd.uscourts.gov Number of Judgeships: 12 Areas Covered: Counties of Archer, Armstrong, Bailey, Baylor, Borden, Briscoe, Brown, Callahan, Carson, Castro, Childress, Clay, Cochran, Coke, Coleman, Collingsworth, Comanche, Concho, Cottle, Crockett, Crosby, Dallam, Dallas, Dawson, Deaf Smith, Dickens, Donley, Eastland, Ellis, Erath, Fisher, Floyd, Foard, Gaines, Garza, Glasscock, Gray, Hale, Hail, Hansford, Hardeman, Hartley, Haskell, Hemphill, Hockley, Hood, Howard, Hunt, Hutchinson, Irion, Jack, Johnson, Jones, Kaufman, Kent, King, Knox, Lamb, Lipscomb, Lubbock, Lynn, Menard, Mills, Mitchell, Montague, Moore, Motley, Navarro, Nolan, Ochiltree, Oldham, Palo Pinto, Parker, Parmer, Potter, Randall, Reagan, Roberts, Rockwall, Runnels, Schleicher, Scurry, Shackelford, Sherman, Stephens, Sterling, Stonewall, Sutton, Swisher, Tarrant, Taylor, Terry, Throckmorton, Tom Green, Wheeler, Wichita, Wilbarger, Wise, Yoakum and Young
315	40	 Brooke C. Wells	 June 4, 2003	N / A	N / A	N / A	N / A	N / A	N / A
177	41	 Bruce H. Hendricks	 May 6, 2002	N / A	N / A	 Assistant U.S. Attorney, District of South Carolina, United	N / A	N / A	N / A
122	42	 Bruce I. Fox quehauna, Tioga, Union, Wayne, Wyoming and York	 1986	N / A	N / A	N / A	N / A	N / A	N / A
313	43	 Bruce S. Jenkins	 1978	 President Jimmy Carter	N / A	N / A	 Bankruptcy Fudge, United States Bankruptcy Court for the District of Utah (1965-1978)	 Private Practice (1959-1965) Military Service: United States Navy (1945-1946)	 American Bar Association; American Bar Foundation, American Bar Association; Federal Bar Association; Federal Judges Association; United States Supreme Court Bar; Utah State Bar fF ; et Law Clerk Laura Kennedy. ... - o tone # ewe ee (801) 524-6156 nail: Laura_Kennedy@utd.uscourts. gov ication: Brigham Young 1991 BA;
108	44	 Bruce W. Kauffman	N / A	N / A	N / A	N / A	N / A	N / A	N / A
109	45	 Bruce W. Kauffman, United States	N / A	N / A	N / A	N / A	N / A	 Associate, Dilworth, Paxson, Kalish & Kauffman (1960-1965); Partner, Dilworth, Paxson, Kalish & Kauffman (1965-1980); Chairman, Dilworth, Paxson, Kalish & Kauffman LLP (1982-1997)	 American College of Trial Lawyers; American Judicature Society; The American Law Institute; International Academy of Trial Lawyers
196	46	 C. Clifford Shirley, Jr.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
33	47	 C. Kathryn Preston.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
176	48	 C. Weston Houck	 1979	 President Jimmy Carter	N / A	 Member, South Carolina House of Representatives	N / A	 Partner, Willcox, Hardee, Houck, Palmer & GO’ Farrell (1956-1970); Partner, Houck, Clarke & Johnson (1971-1979) Military Service: United States Army (1957-1958)	 American Bar Association; Florence County Bar Association; South Carolina Bar Association 
273	49	 Calvin Botley	 October 31, 1979	N / A	N / A	 Assistant District Attorney, State of Texas (1972-1973);	N / A	N / A	 American Bar Association; College of the State Bar of Texas; Federal Magistrate Judges Association; Houston Bar Association; Houston Bar Foundation, Houston Bar Association; Houston Lawyers Association; Texas Bar Foundation, State Bar of Texas
168	50	 Cameron McGowan	N / A	N / A	N / A	N / A	N / A	N / A	N / A
249	51	 Charles Bleil	N / A	N / A	N / A	N / A	N / A	N / A	N / A
231	52	 Charles Everingham	 April 2007	N / A	N / A	N / A	N / A	N / A	N / A
29	53	 Charles M. Caldwell	 May 26, 1993	N / A	N / A	 Staff Attorney, Bankruptcy Division, Administrative Office of	N / A	N / A	N / A
41	54	 Claire V. Eagan	 October 25, 2001	 President George W. Bush	N / A	N / A	 Magistrate Judge, United States District Court for the Northem District of Oklahoma (1998-2001)	 Associate, Hall, Estill, Hardwick, Gable, Golden & Nelson, PC. (1978-1981); Shareholder, Hall, Estill, Hardwick, Gable, Golden & Nelson, PC. (1982-1998); Director and Executive Committee Member, Hall, Estill, Hardwick, Gable, Golden & Nelson, PC, (1991-1998) Nonprofit: President, Tulsa Women Lawyers Association (2000-2002)	 American Bar Foundation, American Bar Association; The Council Oak/Johnson-Sontag American Inn of Court, The American Inns of Court; Tulsa Women Lawyers Association
247	55	 Clinton E. Averitte	 1987	N / A	N / A	 Assistant Attorney General, Office of the Attorney General,	N / A	 Partner, Hiersche, Martens & Averitte (1977-1978)	 Amarillo Bar Association; Federal Magistrate Judges Association; Texas Bar Foundation, State Bar of Texas 
308	56	 Craig A. Gargotta	 October 2007	N / A	N / A	 Deputy Chief, Civil Division, Texas - Western District,	N / A	 Briefing Attorney (1977-1978), Foster, Lewis, Langley, Gardner & Banack, Inc (1978-1988)	 National Conference of Bankruptcy Judges; San Antonio Bankruptcy Bar Association; San Antonio Bar Association Government: Deputy Chief, Civil Division, Texas - Western District, - United States Department of Justice Statf
9	57	 Current Memberships: American Bankruptcy Institute; American Bar	N / A	N / A	N / A	N / A	N / A	N / A	N / A
190	58	 Curtis L. Collier ..	N / A	N / A	N / A	N / A	N / A	N / A	N / A
89	59	 Cynthia M. Rufe	N / A	N / A	N / A	N / A	N / A	N / A	N / A
255	60	 D. Michael Lyny-.	 Septernber 18, 2001	N / A	N / A	N / A	N / A	 Stutzman & Bromberg; Weil, Gotshal & Manges; -	N / A
310	61	 Dale A. Kimball	 November 24, 1997	 President William J. Clinton	N / A	N / A	 Chairman, Judicial Performance Evaluation Review; Master of the Bench, American Inns of Court; Chairman, Utah State Bar Ethics and Discipline Committee; Chairman, Utah State Bar Committee on the Unauthorized Practice of Law	 Associate then Partner, VanCott, Bagley, Cornwall & McCarthy (1967-1974); Senior Partner, Kimball, Parr, Waddoups, Brows & Gee (1975-1997) : Military Service: Utah Air National Guard (1957-1964) Nonprofit: Director, Board of Directors, Jordan Education Foundation	 American Bar Foundation, American Bar Association; Utah Chapter, Federal Bar Association ~
47	62	 Dana L. Rasu	N / A	N / A	N / A	N / A	N / A	N / A	N / A
240	63	 David C. Godbey	 August 7, 2002	 President George W. Bush	N / A	N / A	 Judge, 160th District Court, State of Texas (1994-2002)	 Associate and Partner, Hughes & Luce, LLP (1983-1994)	N / A
223	64	 David Folsom	N / A	 President William J. Clinton	N / A	N / A	N / A	 Associate, Young & Patton (1974-1976}; Partner, Young, Patton & Folsom (1976-1990); Sole Practitioner (1990-1995)	 American. Association for Justice; Arkansas Bar-~ Association; Arkansas Trial Lawyers Association; Northeast Texas Bar Association; Southwest Arkansas Bar Association; State Bar of Texas, Texarkana Bar Association; Texas Trial Lawyers Association
271	65	 David Hittner	 June 9, 1986	 President Ronald Reagan	N / A	N / A	 Judge, Texas District Court, 133rd District (1978-1986)	 Associate, Lynch, Chappell, Aliday & Hamilton (1967-1968}; Diamond and Totz (1968-1972); Partner, Hittner & Cezeaux (and predecessor firms) (1972-1978} Military Service: United States Arnry (1965-1966)	 The American Law Institute; Federal Bar Association; Federal Judges Association; Fifth Circuit District Judges Association; Houston Bar Association; Houston Bar Foundation, Houston Bar Association; The New York State Bar Association; State Bar of Texas; Texas Bar Foundation, State Bar of Texas
160	66	 David L. Martin	 September 29, 1998	N / A	N / A	 Assistant Public Defender, State of Rhode Island (1974-1981)	N / A	 Private Practice (1981-1998)	N / A
50	67	 David L. Russell	 1982	 President Ronald Reagan	N / A	 Assistant Attorney General, Office of the Attorney General,	N / A	 Partner, Blankenship, Herrold, Russell & Leonard (1971-1973); Partner, Benefield, Russell & Freede (1977-1981) Military Service: United States Navy (1965- HobB)y United States Naval Reserve (1968-1971) :	 Federal Bar Association; Oklahoma Bar Association; Oklahoma County Bar Association
180	68	 David R. Duncan.	 May 2006 s: August 2008	N / A	N / A	N / A	N / A	N / A	N / A
116	69	 David R. Strawbridge	 April 26, 2005	N / A	N / A	N / A	N / A	N / A	N / A
314	70	 David Sam	 1985	 President Ronald Reagan	N / A	N / A	N / A	N / A	N / A
140	71	 David Stewart Cercone	 September 12, 2002	N / A	N / A	 Assistant District Attorney, Office of the District Attorney, County of Allegheny, Pennsylvania (1979-1981)	 District Justice, Commonwealth of Pennsylvania (1982-1985)	N / A	N / A
297	72	 Dennis G. Green	 1985	N / A	N / A	 Assisiant District Attorney, Harris County, Texas, Economic Crime and Consumer Fraud Divisions (1972-1975), Assistant District Attorney, Harris County, Texas, Economic Crime and Consumer Fraud Division (1977-1979); First Assistant District Attorney, Office of the Thstrict Attorney, County of McLennan, Texas (1982-1983)	 Assistant United States Attorney, District of Southern Texas, Department of Justice (1975-1976); President, State Bar of Texas (2002)	 Trial Counsel, Shell Oil, Company (1979-1982); Watson & Green (1984-1985) Military Service: United States Army (1967-1969)	 Federal Bar Association; Federal Magistrate Judges Association; State Bar of Texas
194	73	 Dennis H. Inman	 November 14, 1995	N / A	N / A	N / A	 Chancellor, Tennessee Court of Chancery, Third Judicial District	N / A	N / A
280	74	 Diana Saldaiia	 2006	N / A	N / A	 Assistant U.S. Attorney, Laredo (TX) Office, Executive	N / A	 Attorney, Beirne, Maynard & Parsons, L.L.P. (2000-2001)	 Federal Magistrate Judges Association; State Bar of Texas; Webb County Bar Association - . FEDERAL COURTS~UNITED STATES DISTRICT COURTS
214	75	 Diane K. Vescovo	N / A	N / A	N / A	N / A	N / A	N / A	N / A
121	76	 Diane Weiss Sigm	 October 1993	N / A	N / A	N / A	 Chief Bankruptcy Judge, United States Bankruptcy Court for t Eastern District of Pennsylvania	 Attorney, Blank Rome Comisky & McCauley LLP	N / A
96	77	 Donaid W. VanArtsdalen	N / A	N / A	N / A	N / A	N / A	N / A	N / A
71	78	 Donald C.	 September 1992	N / A	N / A	 Revenue Officer, United States Department of the Treasury (1959-1961); City Attorney, Office of the City Attomey, City of Beaverton, Oregon (1970-1975)	 Judge, Oregon District Court (1975-1977); Judge, Oregon Circuit	N / A	 Oregon State Bar Association
276	79	 Dorina Ramos	 1996	N / A	N / A	N / A	N / A	N / A	N / A
205	80	 E. Clifton Knowles	 2000	N / A	N / A	N / A	N / A	 Associate and Partner, Bass, Berry & Sims PLC (1979-1999) ,	 American Judicature Society; Nashville Bar Association; Nashville Bar Foundation, Nashville Bar Association; Tennessee Bar Association
228	81	 Earl S. Hines	N / A	N / A	N / A	N / A	N / A	N / A	N / A
241	82	 Ed Kinkeade	N / A	N / A	N / A	N / A	N / A	N / A	N / A
15	83	 Edmund A. Sargus, Jr.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
101	84	 Edmund V. Ludwig	N / A	N / A	N / A	N / A	N / A	N / A	N / A
83	85	 Eduardo C. Robreno	 July. 27, 1992	 President George H.W. Bush	N / A	 Attorney, Antitrust Division, United States Department of	N / A	 Meltzer & Schiffrin (1981- 1986}; Fox, Rothschild, O’Brien & Frankel (1987-1992)	 The American Law Institute
132	86	 Edwin M. Kosik	N / A	N / A	N / A	N / A	N / A	N / A	N / A
76	87	 Elizabeth L.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
159	88	 Ernest C. Torres	N / A	N / A	N / A	N / A	N / A	N / A	N / A
272	89	 Ewing Werlein, Jr.	 May 22, 1992	 President George H.W. Bush	N / A	N / A	N / A	 Private Practice (1961); Atiorney, Vinson & Elkins L.L.P (1964-1992) Military Service: United States Air Force (1961-1964); United States Air Force Reserve (1964-1971)	 American Bar Foundation, American Bar Association; American College of Trial Lawyers; Federal Bar Association; Houston Bar Association; Houston Bar Foundation, Houston Bar Association; International Society of Barristers; State Bar of Texas; Texas Bar Foundation, State Bar of Texas
44	90	 F H. McCarthy	N / A	N / A	N / A	N / A	N / A	N / A	N / A
278	91	 Felix Recio, Jr.	 March 22, 1999	N / A	N / A	 Assistant Federal Public Defender (1986-1999)	N / A	 Private Practice (1976-1986) Military Service: United States Marine Corps (1962-1966)	 Cameron County Bar Association; Rio Grande Marine Institute
274	92	 Frances H. Stacy.	 February 20, 1990	N / A	N / A	 Assistant United States Attorney, Southern District of Ts	N / A	N / A	 Federal Bar Association; Houston Bar Associ; Texas Bar Foundation, State Bar of Texas
147	93	 Francis X. Caiazza	 June 1, 1994	N / A	N / A	N / A	 Judge, Pennsylvania Court of Common Pieas, 53rd District	N / A	 Pennsylvania Trial Judges Association
37	94	 Frank H. Seay	 November 5, 1979	 President Fimmy Carter	N / A	 Assistant to the District Attorney, Office of the District Attorney, State of Oklahoma (1963-1966); First Assistant District Attorney, Office of the District Attorney, State of Oklahoma (1967-1968)	 Associate Judge, Oklahoma District Court (1968-1979); Chief Judge, United States District Court for the Eastern District of Oklahoma; Member, Judicial Conference of the United States (2003)	 Private Practice (1963-1966)	 American Bar Association, Muskogee County Bar Association; Oklahoma Bar Association; Seminole County Bar Association
294	95	 Frank Montalvo	N / A	N / A	N / A	N / A	N / A	N / A	N / A
78	96	 Frank R. Alley Iil	N / A	N / A	N / A	N / A	N / A	N / A	N / A
306	97	 Frank R. Monrog	 October 1, 1989	N / A	N / A	N / A	N / A	 Attorney, Sheinfeld, Maley & Kay, PC, (1969-1989)	 American Bar Association; State Bar of Tei Travis County Bar Association icth: 1944 “Jdaho 1967 BA; Arizona State 1970 MA, 1977 1D : July 10, 1995 yi President William J. Clinton ; Deputy County Attorney, County of Salt Lake, Utah (1981); . “-TJnited States Attorney, District of Utah, United States 
288	98	 Fred Biery	 March 14, 1994	 President William J. Clinton	N / A	N / A	 Judge, Bexar County Court at Law (1979-1982); Judge, Texas District Court, 150th District (1983-1988); Justice, Texas Court of Appeals, Fourth District (1989-1994)	 Partner, Biery, Biery, Davis & Myers (1973-1978) Military Service: United States Army Reserve, United States Department 9 the Army (1970-1976)	 American Bar Association; The William 5. Sessions American Inn of Court, The American Inns of Court; San Antonié Bar Association; San Antonio Bar Foundation; State Bar of Texas; Texas B Foundation, State Bar of Texas
165	99	 G. Ross Anderson, Jr.	 May 1980	 President Jimmy Carter	N / A	 Legislative Secretary, State Senator Olin D. Johnston (SC}, .	N / A	 Private Practice (1954-1980); Partner, Anderson & Chapman (1960-1965); Partner, Anderson & Doyle (1962-1965); Partner, Anderson, Epps & Krause (1971-1980) Military Service: United States Air Force (1951-1952)	 American Association for Justice; American Bar Association; Fourth Circuit Judicial Conference; Georgia Trial Lawyers Association; International Academy of Trial Lawyers; South Carolina Bar Association; South Carolina Trial Lawyers Association.
64	100	 Garr M. King	N / A	N / A	N / A	N / A	N / A	N / A	N / A
57	101	 Gary M. Purcell	 December 28, [992	N / A	N / A	 Legal Intern, Oklahoma Court of Criminal Appeals (1975)	 Special Judge, Oklahoma District Court (1979-1992)	N / A	 Cleveland County Bar Association; Federal Bar Association; Oklahoma Bar Association; Oklahoma County Bar Association
207	102	 George C. Paine	 1981	N / A	N / A	N / A	N / A	 Schulman, McCarley, Hollins & Pride (1973-1976); Staff Chambers, Johnson & Beckner (1976-1981) Military Service: United States Army (1968-1971)	 American Association of Justice; American Bankruptcy Institute; Nashville Bar Association; National Conference of Bankruptcy Judges FEDERAL COURTS—UNITED STATES DISTRICT COURTS
