	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
67	176	 Stephen G. Larson	 March 2006	 President Gearge W. Bush	N / A	 Assistant United States Attorney (1991-2000)	 Magistrate Judge, United States District Court for the Central District of California (2000-2006)	 O’Melveny & Myers (1989-1994)	 Federal Bar Association
85	177	 Stephen J. Hillman	 July 16, 1992	N / A	N / A	 Deputy Federal Public Defender, State of California	N / A	 Berman & Clark (1986-1992)	N / A
9	178	 Stephen M. McNamee	 June 8, 1990	 President George H.W. Bush	N / A	N / A	 Chief Judge, United State District Court for the District of Arizona	N / A	 Maricopa County Bar Association; State Bar of Arizona
157	179	 Susan Illston	N / A	N / A	N / A	N / A	N / A	N / A	N / A
33	180	 Susan Webber Wright	N / A	N / A	N / A	N / A	N / A	N / A	N / A
98	181	 Suzanne H. Segal	 July 31, 2002	N / A	N / A	 Assistant U.S. Attorney, Central District of California, United	N / A	 Associate, Dewey Ballantine LLP (1988-1990)	N / A
76	182	 Terry J. Hatter, Jr.	 February 1, 1980	 President Jimmy Carter	N / A	 Adjudicator, Veterans Administration (1960-1961); Assistant Public Defender, Office of the Public Defender, County of Cook California (1961-1962); Assistant U.S. Attorney, California - Northern District, Executive Office for United States Attorneys, United States Department of Justice (1962-1966); Special Assistant U.S, Attorney, California - Northern District, Executive Office for United States Attorneys, United States Department of Justice (1966); Chief Counsel, San Francisco Neighborhood Legal Assistance Foundation (1966-1967); Regional Legal Services Director, Office of Economic Gpportunity, Executive Office of the President (1967-1970); Executive Director, Western Center on Law and Poverty (1970-1973); Executive Assistant/Director of Criminal Justice Planning, Office of the Mayor, City of Las Angeles, California (1974-1975); Special Assistant/Urban Development Director, Office of the Mayor, City of Los Angeles, California (1975-1977)	 Judge, Superior Court of California (1977-1980)	 Attorney, Harold M. Calhoun Law Office (1961-1962) Military Service; Special Category Army with the Air Force (SCARWAF), United States Department of Defense (1954-1956)	 American Judicature Society; Illinois State Bar Association; Los Angeles County Bar Association; National Legal Aid & Deferider Association; The State Bar of California
165	183	 Thelten E. Henderson	 1980	 President Jimmy Carter	N / A	 Attorney, Civil Rights Division, United States Department of	N / A	 Associate, FitzSimmons & Petris (1964-1966); Rasen, Remcho & Henderson (1977-1986) Military Service: United States Army (1956-1958)	 American Bar Association; The Edward McFeiridge American Inn of Court, The American Inns of Court; The American Law Institute; Charles Houston Bar Association; Federal Judges Association; National Bar Association
123	184	 Theodor C. Albert	N / A	N / A	N / A	N / A	N / A	N / A	N / A
116	185	 Thomas 8B, Donovan	N / A	N / A	N / A	N / A	N / A	N / A	N / A
145	186	 Thomas C. Holman .	 Deceraber 16, 2000	N / A	N / A	N / A	N / A	 Bank of America (1971-1976); Associate, Graham & James LLP (1976-1978); Partner, Jellen & Holman (1978-1982); Partner, Pettit & Martin (1982-1995); Partner, Holman & O'Grady (1995-1999); Counsel, Bullivant Houser Bailey PC (1999-2000)	 American Bankruptcy Institute; American Bar Association; The State Bar of California
179	187	 Thomas E. Carlson	 June 18, 2004	N / A	N / A	 Legal Intern, Executive Office of the President, Gerald Ford	N / A	 Sole Practitioner (1978-1987)	N / A
190	188	 Thomas J. Whelan	 November 5, 1998	 President William J. Clinton	N / A		 Judge, Superior Court of California, County of San Diego	N / A	 The Honorable William B. Enright American Inn of Court, The American Inas of Court; Association of Business Trial Lawyers; California Fudges Association; Federal Judges Association 
69	189	 Valerie Baker Fairbank	 February 16, 2007	 President George W. Bush	N / A	 Assistant U.S. Attorney, Office of the United States Attorneys, United States Department of Justice (1977-1980); Judge, Los Angeles Municipal Court, County of Los Angeles, California (1986-1937)	 Judge, County of Los Angeles, California (1987-2007)	 Associate, Overton, Lyman & Prince (1975-1977);	N / A
151	190	 Vaughn R. Walker	 February 5, 1990	 President George H.W. Bush	N / A	N / A	N / A	 Associate, Pillsbury, Madison & Sutro (£972-1977); Partner, Pillsbury, Madison & Sutro (1978-1990)	 American Bar Association; American Judicature Society; The American Law Institute; Northern District of California Historical Society; St. Francis Foundation; Stanford Law Society
93	191	 Victor B. Kenton	 Fuly 2, 2001	N / A	N / A	 Federal Public Defender (1978-1982); Federal Public	N / A	 Law Office of Victor B. Kenton (1982-1996)	N / A
125	192	 Victoria S. Kaufman	 May 2006	N / A	N / A	N / A	N / A	 Attorney, Private Practice; Of Counsel, Paul, Hastings,	N / A
105	193	 Vincent PR	 Aprif 18, 1988	N / A	N / A	N / A	N / A	 Associate, Greenberg Glusker Fields Claman & Machtinger LLP (1982-1988)	 Los Angeles County Bar Association; National Conference of Bankruptcy Judges; The State Bar of California
59	194	 Virginia A. Phillips	N / A	N / A	N / A	N / A	N / A	N / A	N / A
146	195	 W. Richard Lee	 January 17, 2001	N / A	N / A	N / A	N / A	N / A	 The State Bar of California
168	196	 Wayne D. Brazil	 June 1984	N / A	N / A	N / A	N / A	 Attorney, Farelia Braun & Martel LLP (1975-1977) Military Service: United States Army Reserve (1966-1974)	 The State Bar of California
144	197	 Whitney Rime!	 February 4, 1998	N / A	N / A	N / A	N / A	 Partner, Diepenbrock, Wulff, Plant & Hannegan	 American Bankrupicy Institute; Federal Bar Association: Nationa! Conference of Bankruptcy Judges
161	198	 William Alsup	 August 17, 1999	 President William J. Clinton	N / A	 Assistant Solicitor General, Office of the Solicitor General,	N / A	 Attorney, Pyles & Tucker (1972-1973); Associate/Partner, Morrison & Foerster LLP (1973-1978); Partner, Morrison & Foerster LLP (1980-1999)	 American Bar Association; American College of Trial Lawyers; California Supreme Court Historical Society; San Francisco Bar Association; The State Bar of California
132	199	 William B. Shubb -	 October 29, 1990	 President George H.W. Bush	N / A	 Assistant United States Attorney, Eastern District of California, United States Department of Justice (1965-1974); United States Attorney, Eastern District of California, United States Department of Justice (1980-1981)	 Chief Judge, United States District Court for the Eastern District of California	 Attorney, Diepenbrock, Wulff, Plant & Hannegan (1974-1980)	" American Bar Association; American Board of Trial Advocates; The Anthony M. Kennedy American Inn of Court, The American Inns of Court; Federal Bar Association; Rotary International; Sacramento County Bar Assocaition; The State Bar of California William B. Shubb Senior Judge Date of Birth: 1938 Education: UC Berkeley 1960 AB; Boalt Hall 1963 LLB Began Service: October 29, 1990 Appointed By: President George H.W. Bush we eee aa (539) 499-5649 -pambers of Senior Judge Oliver W. Wanger ""yert E- Coyle U.S. Courthouse, 2500 Tulare Street, Suite 7801, sno, CA 93721 (559) 499-5650 Fax: (559) 499-5656 ate of Birth: 1940 Education: USC 1963 BS; Boalt Hall 1966 LLB “Began Service: May 31, 1991 : A ppointed By: President George H.W. Bush “peademic: Adjunct Professor of Law, Humphries College of Law (1968-1969), Adjunct Professor of Law, San Joaquin College of Law “(1970-1994), Dean, San Joaquin College of Law (1980-1983); President, gan Joaquin College of Law (1983-1994); Chairperson, Board of Trustees, “San Joaquin College of Law (1985-1994) Government: Deputy District Attorney, Office of the District Attorney, County of Fresno, California (1967-1969); City Attorney, Office of the City - Attorney, City of Mendota, California (1975-1980) a Judicial: Temporary Judge, California Superior Court, Fresno County; Pro Tem Settlement Conference Judge, California Superior Court, Fresno County Legal Practice: Partner, Gallagher, Baker & Manock (1969-1974); Senior Partner, McCormick, Barstow, Sheppard, Wayte & Carruth (1974-1991) Military Service: United States Marine Corps Reserve (1960-1967) ‘"
79	200	 William D. Keller	N / A	N / A	N / A	N / A	N / A	N / A	N / A
139	201	 William M. Wunderlich	N / A	N / A	N / A	N / A	N / A	N / A	N / A
193	202	 William Q. Hayes	N / A	N / A	N / A	N / A	N / A	N / A	N / A
34	203	 William Roy Wilson, Jr.	 October 1, 1993	 President William J. Clinton	N / A	 Deputy Prosecuting Attorney, State of Arkansas (1965-1966)	N / A	 Autrey & Goodson (1965-1966); Attorney, Wright, Lindsey & Jennings LLP (1969-1972); Partner, Wilson & Hodge (1972-1974); Private Practice (1974-1980); Partner, Wilson & Engstrom (1980-1983); Partner, Wilson, Engstrom & Vowell; Partner, Wilson, Engstrom, Corum & Dudley (1984-1993) Military Service: United States Navy (1966-1969)	 American Bar Association; American Board of Trial Advocates; American College of Trial Lawyers; Arkansas Bar Association; Arkansas Trial Lawyers Association; International Academy of Trial Lawyers; International Society of Barristers; Milier County Bar Association; Southwest Arkansas Bar Association 
164	204	 William W Schwarzer	N / A	 President Geraid Ford	N / A	 Senior Counsel, United States President’s Commission on	N / A	N / A	 American College of Trial Lawyers; The American Law Institute
41	205	 {recalled) Jerry W.	 January 7, 1991	N / A	N / A	N / A	N / A	 Wright, Lindsey & Jennings, LLP (1985-1990); Partner, Lax, Vaughn, Evans & Fortson, PA (1991-2001)	 American Bankruptcy Institute; American Bar ‘Association, American College of Bankruptcy; Arkansas Association of Women Lawyers; Arkansas Bar Association; Debtor-Creditor Bar ‘Association of Central Arkansas; National Conference of Bankruptcy Judges; Pulaski County Bar Association
148	206	 {recalled} David E. .	 November 3, 1986	N / A	N / A	N / A	N / A	N / A	N / A
48	207	 {recalled} James G.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
25	208	s Michelle H. Burns	 February 2007	N / A	N / A	N / A	N / A	N / A	N / A
